"","cohort","mouse","start","end"
"1","A",1,NA,37.8
"2","A",2,NA,35.6
"3","A",3,NA,35.5
"4","A",4,NA,35.9
"5","A",5,NA,41.6
"6","A",6,NA,38.3
"7","A",7,NA,NA
"8","A",8,NA,41.3
"9","A",9,NA,32.6
"10","A",10,NA,38.5
"11","A",11,NA,35.7
"12","A",12,NA,40.9
"13","B",1,NA,38.2
"14","B",2,NA,38.2
"15","B",3,NA,41.5
"16","B",4,NA,36.8
"17","B",5,NA,NA
"18","B",6,NA,36
"19","B",7,NA,44.7
"20","B",8,NA,33.7
"21","B",9,NA,35
"22","B",10,NA,39.8
"23","B",11,NA,35.9
"24","B",12,NA,39.3
"25","C",1,33,37.5
"26","C",2,33.1,37.7
"27","C",3,32.4,34.3
"28","C",4,37.3,39.7
"29","C",5,35.6,40
"30","C",6,37,39.5
"31","C",7,35.3,38.7
"32","C",8,33.5,37.1
"33","C",9,33.7,33.9
"34","C",10,33.1,37.9
"35","C",11,35.8,40.2
"36","C",12,33.1,35.5
"37","D",1,33.5,33.3
"38","D",2,33.4,38.1
"39","D",3,34.7,41.3
"40","D",4,37.3,43.4
"41","D",5,32.1,39.9
"42","D",6,32,37.2
"43","D",7,35.4,38.4
"44","D",8,33.3,35.4
"45","D",9,32.4,37.7
"46","D",10,36.1,38.6
"47","D",11,33.3,32.7
"48","D",12,35.3,41
"49","E",1,34.5,39.8
"50","E",2,34.4,37.8
"51","E",3,32.6,37.9
"52","E",4,35.7,39.6
"53","E",5,35.7,37.1
"54","E",6,34.5,37.5
"55","E",7,32.8,38.2
"56","E",8,33.9,37.1
"57","E",9,33.4,34.7
"58","E",10,35,39.3
"59","E",11,33.2,35.4
"60","E",12,35.2,34.2
"61","F",1,33.9,35.7
"62","F",2,34.5,38.3
"63","F",3,35.8,36.5
"64","F",4,33.4,37.4
"65","F",5,35.6,40.4
"66","F",6,34.5,38.4
"67","F",7,32,35.9
"68","F",8,32.6,34.8
"69","F",9,34.7,37.5
"70","F",10,36,35.9
"71","F",11,33.6,34.7
"72","F",12,32,36
"73","G",1,34.3,38.3
"74","G",2,33.2,37.1
"75","G",3,34.5,40.7
"76","G",4,36,36.8
"77","G",5,37,38.5
"78","G",6,34.8,38.4
"79","G",7,31.7,37.9
"80","G",8,31.6,34.3
"81","G",9,34.2,37.2
"82","G",10,34.7,39.4
"83","G",11,31.8,35.2
"84","G",12,36.2,41.4
"85","H",1,36.2,38.9
"86","H",2,33.7,36.4
"87","H",3,34.6,40.2
"88","H",4,35.7,38.6
"89","H",5,33.58,36.6
"90","H",6,36.3,38.8
"91","H",7,32.2,37
"92","H",8,38.2,41
"93","H",9,35.8,38.2
"94","H",10,35.2,38.1
"95","H",11,36.6,38.5
"96","H",12,37.4,36.6
